#iata,airport,city,state,country
1D2,Canton -Plymouth -  Mettetal,Plymouth,MI,USA
1D3,Platte Municipal,Platte,SD,USA
1D6,Hector Municipal,Hector,MN,USA
1D7,Webster Municipal,Webster,SD,USA
1D8,Redfield Municipal,Redfield,SD,USA
1F0,Downtown Ardmore,Ardmore,OK,USA
1F1,Lake Murray State Park,Overbrook,OK,USA
1F4,Madill Municipal,Madill,OK,USA
1F9,Bridgeport Municipal,Bridgeport,TX,USA
1G0,Wood County,Bowling Green,OH,USA
1G3,Kent State University,Kent,OH,USA
1G4,Grand Canyon West,Peach Springs,AZ,USA
1G5,Freedom,Medina,OH,USA
1G6,Michael,Cicero,NY,USA
1H0,Creve Coeur,St Louis,MO,USA
1H2,Effingham County Memorial,Effingham,IL,USA
1H3,Linn State Tech. College,Linn,MO,USA
1H8,Casey Municipal,Casey,IL,USA
1I5,Freehold,Freehold,NY,USA
1I9,Delphi Municipal,Delphi,IN,USA
1J0,Tri-County,Bonifay,FL,USA
1K2,Lindsay Municipal,Lindsay,OK,USA
1K4,David J. Perry,Goldsby,OK,USA
1K5,Waynoka Municipal,Waynoka,OK,USA
1K9,Satanta Municipal,Satanta,KS,USA
1L0,St. John the Baptist Parish,Reserve,LA,USA
1L1,Lincoln Co,Panaca,NV,USA
1L7,Escalante Municipal,Escalante,UT,USA
1L9,Parowan,Parowan,UT,USA
1M1,North Little Rock Municipal,No Lit Rock,AR,USA
1M2,Belzoni Municipal,Belzoni,MS,USA
1M4,Posey,Haleyville,AL,USA
1M5,Portland Municipal,Portland,TN,USA
1M7,Fulton,Fulton,KY,USA
1MO,Mountain Grove Memorial,Mountain Grove,MO,USA
1N2,Spadaro,East Moriches,NY,USA
1N4,Woodbine Muni,Woodbine,NJ,USA
1N7,Blairstown,Blairstown,NJ,USA
1N9,Allentown Queen City Muni,Allentown,PA,USA
1ND3,Hamry,Kindred,ND,USA
1O1,Grandfield Municipal,Grandfield,OK,USA
1O2,Lampson,Lakeport,CA,USA
1O3,Lodi,Lodi,CA,USA
1O4,Thomas Municipal,Thomas,OK,USA
1O6,Dunsmuir Municipal-Mott,Dunsmuir,CA,USA
1R1,Jena,Jena,LA,USA
1R7,Brookhaven-Lincoln County,Brookhaven,MS,USA
1R8,Bay Minette Municipal,Bay Minette,AL,USA
1S0,Pierce County,Puyallup,WA,USA
1S3,Tillitt,Forsyth,MT,USA
1S5,Sunnyside Municipal,Sunnyside,WA,USA
1S6,Priest River Muni,Priest River,ID,USA
1U7,Bear Lake County,Paris,ID,USA
1V0,Navajo State Park,Navajo Dam,NM,USA
1V2,Grant County,Hyannis,NE,USA
1V5,Boulder Muni,Boulder,CO,USA
1V6,Fremont County,Canon City,CO,USA
1V9,Blake,Delta,CO,USA
20A,Robbins,Oneonta,AL,USA
20M,Macon Municipal,Macon,MS,USA
20N,Kingston-Ulster,Kingston,NY,USA
20U,Beach,Beach,ND,USA
20V,McElroy Airfield,Kremmling,CO,USA
21D,Lake Elmo,St Paul,MN,USA
21F,Jacksboro Municipal,Jacksboro,TX,USA
22B,Mountain Meadow Airstrip,Burlington,CT,USA
22I,Vinton County,McArthur,OH,USA
22M,Pontotoc County,Pontotoc,MS,USA
22N,Carbon Cty-Jake Arner Memorial,Lehighton,PA,USA
23J,Herlong,Jacksonville,FL,USA
23M,Clarke County,Quitman,MS,USA
23N,Bayport Aerodrome,Bayport,NY,USA
23R,Devine Municipal,Devine,TX,USA
24A,Jackson County,Sylva,NC,USA
24J,Suwannee County,Live Oak,FL,USA
24N,Jicarilla Apache Nation,Dulce,NM,USA
25J,Cuthbert-Randolph,Cuthbert,GA,USA
25M,Ripley,Ripley,MS,USA
25R,International,Edinburg,TX,USA
26A,Ashland/Lineville,Ashland/Lineville,AL,USA
26N,Ocean City Muni cipal,Ocean City,NJ,USA
26R,Jackson County,Edna/Ganado,TX,USA
26U,McDermitt State,McDermitt,OR,USA
27A,Elbert County-Patz,Elberton,GA,USA
27D,Myers,Canby,MN,USA
27J,Newberry Municipal,Newberry,SC,USA
27K,Georgetown-Scott County,Georgetown,KY,USA
28J,Kay Larkin,Palatka,FL,USA
29D,Grove City,Grove City,PA,USA
29G,Portage County,Ravenna,OH,USA
29S,Gardiner,Gardiner,MT,USA
2A0,Mark Anton,Dayton,TN,USA
2A1,Jamestown Municipal,Jamestown,TN,USA
2A3,Larsen Bay,Larsen Bay,AK,USA
2A9,Kotlik,Kotlik,AK,USA
2AK,Lime Village,Lime Village,AK,USA
2B3,Parlin,Newport,NH,USA
2B7,Pittsfield Municipal,Pittsfield,ME,USA
2B9,Post Mills,Post Mills,VT,USA
2D1,Barber,Alliance,OH,USA
2D5,Oakes Municipal,Oakes,ND,USA
2F5,Lamesa Municipal,Lamesa,TX,USA
2F6,Skiatook Municipal,Skiatook,OK,USA
2F7,Commerce Municipal,Commerce,TX,USA
2F8,Morehouse Memorial,Bastrop,LA,USA
2G2,Jefferson County Airpark,Steubenville,OH,USA
2G3,Connellsville,Connellsville,PA,USA
2G4,Garrett County,Oakland,MD,USA
2G9,Somerset County,Somerset,PA,USA
2H0,Shelby County,Shelbyville,IL,USA
2H2,Aurora Memorial Municipal,Aurora,MO,USA
2I0,Madisonville Municipal,Madisonville,KY,USA
2I5,Chanute,Rantoul,IL,USA
2IS,Airglades,Clewiston,FL,USA
2J2,Liberty County,Hinesville,GA,USA
2J3,Louisville Municipal,Louisville,GA,USA
2J5,Millen,Millen,GA,USA
2J9,Quincy Municipal,Quincy,FL,USA
2K3,Stanton County Municipal,Johnson,KS,USA
2K4,Scott,Mangum,OK,USA
2K5,Telida,Telida,AK,USA
2M0,Princeton-Caldwell County,Princeton,KY,USA
2M2,Lawrenceburg Municipal,Lawrenceburg,TN,USA
2M3,Sallisaw Municipal,Sallisaw,OK,USA
2M4,G. V. Montgomery,Forest,MS,USA
2M8,Charles W. Baker,Millington,TN,USA
2O1,Gansner,Quincy,CA,USA
2O3,Angwin-Parrett,Angwin,CA,USA
2O6,Chowchilla,Chowchilla,CA,USA
2O7,Independence,Independence,CA,USA
2O8,Hinton Municipal,Hinton,OK,USA
2P2,Washington Island,Washington Island,WI,USA
2Q3,Yolo Co-Davis/Woodland/Winters,Davis/Woodland/Winters,CA,USA
2R0,Waynesboro Municipal,Waynesboro,MS,USA
2R4,Peter Prince,Milton,FL,USA
2R5,St Elmo,St Elmo,AL,USA
2R9,Karnes County,Kenedy,TX,USA
2S1,Vashon Municipal,Vashon,WA,USA
2S6,Sportsman Airpark,Newberg,OR,USA
2S7,Chiloquin State,Chiloquin,OR,USA
2S8,Wilbur,Wilbur,WA,USA
2T1,Muleshoe Municipal,Muleshoe,TX,USA
2V1,Stevens,Pagosa Springs,CO,USA
2V2,Vance Brand,Longmont,CO,USA
2V5,Wray Municipal,Wray,CO,USA
2V6,Yuma Municipal,Yuma,CO,USA
2W5,Maryland,Indian Head,MD,USA
2W6,Captain Walter Francis Duke Regional,Leonardtown,MD,USA
2Y3,Yakutat SPB,Yakutat,AK,USA
2Y4,Rockwell City Municipal,Rockwell City,IA,USA
31F,Gaines County,Seminole,TX,USA
32M,Norfolk,Norfolk,MA,USA
32S,Stevensville,Stevensville,MT,USA
33J,Geneva Municipal,Geneva,AL,USA
33M,Water Valley,Water Valley,MS,USA
33N,Delaware Airpark,Dover,DE,USA
33S,Pru,Ritzville,WA,USA
34A,Laurens County,Laurens,SC,USA
35A,Union County, Troy Shelton,Union,SC
35D,Padgham,Allegan,MI,USA
35S,Wasco State,Wasco,OR,USA
36K,Lakin,Lakin,KS,USA
36S,Happy Camp,Happy Camp,CA,USA
36U,Heber City Municipal/Russ McDonald,Heber,UT,USA
37T,Calico Rock-Izard County,Calico Rock,AR,USA
37W,Harnett County,Erwin,NC,USA
38A,Shaktoolik,Shaktoolik,AK,USA
38S,Deer Lodge-City-County,Deer Lodge,MT,USA
38U,Wayne Wonderland,Loa,UT,USA
39N,Princeton,Princeton,NJ,USA
3A0,Grove Hill Municipal,Grove Hill,AL,USA
3A1,Folsom,Cullman,AL,USA
3A2,New Tazewell Municipal,Tazewell,TN,USA
3A3,Anson County,Wadesboro,NC,USA
3AU,Augusta Municipal,Augusta,KS,USA
3B0,Southbridge Municipal,Southbridge,MA,USA
3B1,Greenville Municipal,Greenville,ME,USA
3B2,Marshfield,Marshfield,MA,USA
3B9,Chester,Chester,CT,USA
3BS,Jack Barstow,Midland,MI,USA
3CK,Lake In The Hills,Lake In The Hills,IL,USA
3CM,James Clements Municipal,Bay City,MI,USA
3CU,Cable Union,Cable,WI,USA
3D2,Ephraim/Gibraltar,Ephraim,WI,USA
3D4,Frankfort Dow Memorial,Frankfort,MI,USA
3F3,De Soto Parish,Mansfield,LA,USA
3F4,Vivian,Vivian,LA,USA
3F7,Jones Memorial,Bristow,OK,USA
3FM,Fremont Municipal,Fremont,MI,USA
3FU,Faulkton Municipal,Faulkton,SD,USA
3G3,Wadsworth Municipal,Wadsworth,OH,USA
3G4,Ashland County,Ashland,OH,USA
3G7,Williamson/Sodus,Williamson,NY,USA
3GM,Grand Haven Memorial Airpark,Grand Haven,MI,USA
3I2,Mason County,Point Pleasant,WV,USA
3I7,Phillipsburg,Phillipsburg,OH,USA
3J1,Ridgeland,Ridgeland,SC,USA
3J7,Greene County Airpark,Greensboro,GA,USA
3JC,Freeman,Junction City,KS,USA
3K3,Syracuse-Hamilton County Municipal,Syracuse,KS,USA
3K6,St Louis-Metro East,Troy/Marine/St. Louis,IL,USA
3K7,Mark Hoard Memorial,Leoti,KS,USA
3LC,Logan County,Lincoln,IL,USA
3LF,Litchfield Municipal,Litchfield,IL,USA
3M7,Lafayette Municipal,Lafayette,TN,USA
3M8,North Pickens,Reform,AL,USA
3M9,Warren Municipal,Warren,AR,USA
3MY,Mt. Hawley Auxiliary,Peoria,IL,USA
3N6,Old Bridge,Old Bridge,NJ,USA
3N8,Mahnomen County,Mahnomen,MN,USA
3ND0,Northwood Municipal,Northwood,ND,USA
3O1,Gustine,Gustine,CA,USA
3O3,Municipal,Purcell,OK,USA
3O4,Sayre Municipal,Sayre,OK,USA
3O5,Walters Municipal,Walters,OK,USA
3O7,Hollister Municipal,Hollister,CA,USA
3O9,Grand Lake Regional,Afton,OK,USA
3R0,Beeville Municipal,Beeville,TX,USA
3R1,Bay City Municipal,Bay City,TX,USA
3R2,Le Gros Memorial,Crowley,LA,USA
3R4,Hart,Many,LA,USA
3R7,Jennings,Jennings,LA,USA
3S4,Illinois Valley,Illinois Valley (Cave Junction),OR,USA
3S8,Grants Pass,Grants Pass,OR,USA
3S9,Condon State-Pauling,Condon,OR,USA
3SG,Harry W Browne,Saginaw - H.Browne,MI,USA
3SQ,St Charles,St Charles,MO,USA
3T3,Boyceville Municipal,Boyceville,WI,USA
3T5,Fayette Regional Air Center,La Grange,TX,USA
3TR,Jerry Tyler Memorial,Niles,MI,USA
3U3,Bowman,Anaconda,MT,USA
3U7,Benchmark,Benchmark,MT,USA
3U8,Big Sandy,Big Sandy,MT,USA
3V4,Fort Morgan Municipal,Fort Morgan,CO,USA
3WO,Shawano Municipal,Shawano,WI,USA
3Y2,George L Scott Municipal,West Union,IA,USA
3Y3,Winterset Madison County,Winterset,IA,USA
3Z9,Haines SPB,Haines,AK,USA
40J,Perry-Foley,Perry,FL,USA
40N,Chester Cty-G O Carlson,Coatesville,PA,USA
40U,Manila,Manila,UT,USA
41U,Manti-Ephraim,Manti,UT,USA
42A,Melbourne Municipal,Melbourne,AR,USA
42C,White Cloud,White Cloud,MI,USA
42J,Keystone Airpark,Keystone Heights,FL,USA
42S,Poplar,Poplar,MT,USA
43A,Montgomery County,Star,NC,USA
44B,Dover/Foxcroft,Dover-Foxcroft,ME,USA
44N,Sky Acres,Millbrook,NY,USA
45J,Rockingham-Hamlet,Rockingham,NC,USA
45OH,North Bass Island,North Bass Island,OH,USA
45R,Kountz - Hawthorne,Kountze/Silsbee,TX,USA
46A,Blairsville,Blairsville,GA,USA
46D,Carrington Municipal,Carrington,ND,USA
46N,Sky Park,Red Hook,NY,USA
47A,Cherokee County,Canton,GA,USA
47J,Cheraw Municipal,Cheraw,SC,USA
47N,Central Jersey Regional,Manville,NJ,USA
47V,Curtis Municipal,Curtis,NE,USA
48A,Cochran,Cochran,GA,USA
48D,Clare Municipal,Clare,MI,USA
48I,Braxton County,Sutton,WV,USA
48K,Ness City Municipal,Ness City,KS,USA
48S,Harlem,Harlem,MT,USA
48V,Tri-County,Erie,CO,USA
49A,Gilmer County,Ellijay,GA,USA
49T,Downtown Heliport,Dallas,TX,USA
49X,Chemehuevi Valley,Chemehuevi Valley,CA,USA
49Y,Fillmore County,Preston,MN,USA
4A2,Atmautluak,Atmautluak,AK,USA
4A4,Cornelius-Moore,Cedartown,GA,USA
4A5,Marshall-Searcy County,Marshall,AR,USA
4A6,Scottsboro Municipal,Scottsboro,AL,USA
4A7,Clayton County,Hampton,GA,USA
4A9,Isbell,Fort Payne,AL,USA
4B0,South Albany,South Bethlehem,NY,USA
4B1,Duanesburg,Duanesburg,NY,USA
4B6,Ticonderoga Muni,Ticonderoga,NY,USA
4B7,Schroon Lake,Schroon Lake,NY,USA
4B8,Robertson,Plainville,CT,USA
4B9,Simsbury Tri-Town,Simsbury,CT,USA
4C8,Albia Municipal,Albia,IA,USA
4D0,Abrams Municipal,Grandledge,MI,USA
4D9,Alma Municipal,Alma,NE,USA
4F2,Panola County-Sharpe,Carthage,TX,USA
4F4,Gilmer-Upshur County,Gilmer,TX,USA
4G1,Greenville Muni,Greenville,PA,USA
4G2,Hamburg Inc.,Hamburg,NY,USA
4G5,Monroe County,Woodsfield,OH,USA
4G6,Hornell Muni,Hornell,NY,USA
4G7,Fairmont Muni,Fairmont,WV,USA
4I0,Mingo County,Williamson,WV,USA
4I3,Knox County,Mount Vernon,OH,USA
